timestamp,accX,accY,accZ
0.0,-12.2427,-0.1427,0.0112
20.0,-12.0404,0.0596,0.1685
40.0,-6.7581,0.6215,3.6817
60.0,-7.2742,0.6645,3.4452
80.0,-7.7903,0.7075,3.2086
100.0,-8.3065,0.7505,2.972
120.0,-8.8226,0.7935,2.7355
140.0,-7.1,0.9,4.3
160.0,-7.1482,0.5627,4.4928
180.0,-7.1964,0.2253,4.6855
200.0,-7.2446,-0.112,4.8783
220.0,-7.2928,-0.4494,5.0711
240.0,-8.0078,-4.4222,5.0244
260.0,-8.03,-4.2,5.38
280.0,-8.0522,-3.9778,5.7356
300.0,-8.0744,-3.7556,6.0911
320.0,-8.0967,-3.5333,6.4467
340.0,-10.3404,-3.3596,8.5394
360.0,-10.4212,-3.2788,8.4182
380.0,-10.502,-3.198,8.297
400.0,-10.5828,-3.1172,8.1758
420.0,-10.6636,-3.0364,8.0545
440.0,-11.7692,1.3011,5.6264
460.0,-11.6154,1.8066,5.7582
480.0,-11.4615,2.3121,5.8901
500.0,-11.3077,2.8176,6.022
520.0,-11.1538,3.3231,6.1538
540.0,-12.2267,4.9733,5.2467
560.0,-6.1974,1.5513,12.1513
580.0,-6.4795,0.9103,12.5103
600.0,-6.7615,0.2692,12.8692
620.0,-7.0436,-0.3718,13.2282
640.0,-17.0194,-8.6452,15.9237
660.0,-17.8581,-7.9355,15.171
680.0,-18.6968,-7.2258,14.4183
700.0,-19.5355,-6.5161,13.6656
720.0,-20.3742,-5.8065,12.9129
740.0,-8.5772,0.6076,10.5478
760.0,-8.512,0.6293,10.113
780.0,-8.4467,0.6511,9.6783
800.0,-8.3815,0.6728,9.2435
820.0,-8.3163,0.6946,8.8087
840.0,-2.8472,-9.3449,-14.8427
860.0,-3.836,-9.5247,-16.2135
880.0,-4.8247,-9.7045,-17.5843
900.0,-5.8135,-9.8843,-18.9551
920.0,-6.8022,-10.064,-20.3258
940.0,2.3613,-2.7043,-28.2452
960.0,2.6839,-3.1129,-27.5355
980.0,3.0065,-3.5215,-26.8258
1000.0,3.329,-3.9301,-26.1161
1020.0,3.6516,-4.3387,-25.4065
1040.0,-15.5753,17.0236,15.6562
1060.0,-14.6764,17.518,15.8809
1080.0,-13.7775,18.0124,16.1056
1100.0,-12.8787,18.5067,16.3303
1120.0,-11.9798,19.0011,16.5551
1140.0,-17.3955,-4.3273,-14.3886
1160.0,-22.5773,-5.2364,-6.3432
1180.0,-27.7591,-6.1455,1.7023
1200.0,-32.9409,-7.0545,9.7477
1220.0,-38.1227,-7.9636,17.7932
1240.0,-11.0067,9.4733,13.8733
1260.0,17.6456,30.7823,-13.3013
1280.0,24.1772,32.9089,-21.1494
1300.0,30.7089,35.0354,-28.9975
1320.0,37.2405,37.162,-36.8456
1340.0,8.1253,-29.3802,28.1385
1360.0,8.5429,-21.3143,18.6
1380.0,8.9604,-13.2484,9.0615
1400.0,9.378,-5.1824,-0.4769
1420.0,9.7956,2.8835,-10.0154
1440.0,-10.5443,-7.9423,8.2928
1460.0,-8.9567,-5.7773,8.2722
1480.0,-7.3691,-3.6124,8.2515
1500.0,-5.7814,-1.4474,8.2309
1520.0,-4.1938,0.7175,8.2103
1540.0,5.4919,4.707,6.5477
1560.0,4.7709,6.7535,6.1988
1580.0,4.05,8.8,5.85
1600.0,3.3291,10.8465,5.5012
1620.0,2.6081,12.893,5.1523
1640.0,-4.375,-7.75,4.1125
1660.0,-12.7091,-14.8364,3.9
1680.0,-16.5792,-14.8883,4.1857
1700.0,-20.4494,-14.9403,4.4714
1720.0,-24.3195,-14.9922,4.7571
1740.0,6.9914,-0.5763,13.7645
1760.0,6.1742,0.671,13.8935
1780.0,5.357,1.9183,14.0226
1800.0,4.5398,3.1656,14.1516
1820.0,3.7226,4.4129,14.2806
1840.0,-2.9645,-3.5688,7.029
1860.0,-3.0935,-4.1065,7.2871
1880.0,-3.2226,-4.6441,7.5452
1900.0,-3.3516,-5.1817,7.8032
1920.0,-3.4806,-5.7194,8.0613
1940.0,-1.5505,-0.2075,9.1495
1960.0,-1.8516,-0.4226,8.8484
1980.0,-2.1527,-0.6376,8.5473
2000.0,-2.4538,-0.8527,8.2462
2020.0,-2.7548,-1.0677,7.9452
2040.0,-0.5,1.7,11.4
2060.0,-0.4036,0.9048,11.3277
2080.0,-0.3072,0.1096,11.2554
2100.0,-0.2108,-0.6855,11.1831
2120.0,-0.1145,-1.4807,11.1108
2140.0,-0.2366,-1.6828,9.4355
2160.0,-0.7097,-2.0484,9.3065
2180.0,-1.1828,-2.414,9.1774
2200.0,-1.6559,-2.7796,9.0484
2220.0,-2.129,-3.1452,8.9194
2240.0,-0.9596,-2.1899,11.3081
2260.0,-0.8788,-2.1697,10.9242
2280.0,-0.798,-2.1495,10.5404
2300.0,-0.7172,-2.1293,10.1566
2320.0,-0.6364,-2.1091,9.7727
2340.0,-2.1133,-3.8467,7.5867
2360.0,-2.1578,-3.6689,7.8756
2380.0,-2.2022,-3.4911,8.1644
2400.0,-2.2467,-3.3133,8.4533
2420.0,-2.2911,-3.1356,8.7422
2440.0,-0.9,-2.7012,9.7012
2460.0,-0.9,-2.7247,9.7247
2480.0,-0.9,-2.7482,9.7482
2500.0,-0.9,-2.7718,9.7718
2520.0,-0.9,-2.7953,9.7953
2540.0,-1.1824,-2.6176,9.3088
2560.0,-1.1385,-2.6615,9.3308
2580.0,-1.0945,-2.7055,9.3527
2600.0,-1.0505,-2.7495,9.3747
2620.0,-1.0066,-2.7934,9.3967
2640.0,-1.0117,-3.1117,8.9
2660.0,-1.033,-3.133,8.9
2680.0,-1.0543,-3.1543,8.9
