timestamp,accX,accY,accZ
0.0,-8.3022,-1.0033,3.6
20.0,-8.3158,-1.4158,3.3947
40.0,-8.3789,-1.4789,3.3737
60.0,-8.4421,-1.5421,3.3526
80.0,-8.5053,-1.6053,3.3316
100.0,-8.5684,-1.6684,3.3105
120.0,-9.1181,-1.1072,3.5
140.0,-9.2386,-1.1554,3.5
160.0,-9.359,-1.2036,3.5
180.0,-9.4795,-1.2518,3.5
200.0,-9.6,-1.3,3.5
220.0,-12.1494,-3.0596,3.2
240.0,-12.0371,-2.9697,3.2
260.0,-11.9247,-2.8798,3.2
280.0,-11.8124,-2.7899,3.2
300.0,-11.7,-2.7,3.2
320.0,-6.228,-1.5839,2.9581
340.0,-6.271,-1.7129,2.8935
360.0,-6.314,-1.8419,2.829
380.0,-6.357,-1.971,2.7645
400.0,-6.4,-2.1,2.7
420.0,-11.2,-2.25,1.85
440.0,-11.5558,-1.8779,2.0663
460.0,-11.5093,-1.8547,2.136
480.0,-11.4628,-1.8314,2.2058
500.0,-11.4163,-1.8081,2.2756
520.0,-9.3721,-2.714,1.793
540.0,-9.2791,-2.7605,1.7698
560.0,-9.186,-2.807,1.7465
580.0,-9.093,-2.8535,1.7233
600.0,-9.0,-2.9,1.7
620.0,-8.2889,-2.5,2.2222
640.0,-8.2667,-2.5,2.2667
660.0,-8.2444,-2.5,2.3111
680.0,-8.2222,-2.5,2.3556
700.0,-8.2,-2.5,2.4
720.0,-7.6684,-2.4158,2.8316
740.0,-7.6263,-2.4368,2.8737
760.0,-7.5842,-2.4579,2.9158
780.0,-7.5421,-2.4789,2.9579
800.0,-7.5,-2.5,3.0
820.0,-8.4095,-3.1048,3.6036
840.0,-8.6,-3.2,3.675
860.0,-8.7905,-3.2952,3.7464
880.0,-8.981,-3.3905,3.8179
900.0,-9.1714,-3.4857,3.8893
920.0,-9.8667,-2.1778,4.5667
940.0,-9.6,-2.1333,4.5
960.0,-9.3333,-2.0889,4.4333
980.0,-9.0667,-2.0444,4.3667
1000.0,-8.8,-2.0,4.3
1020.0,-8.6951,-2.3317,2.7
1040.0,-8.8415,-2.3805,2.7
1060.0,-8.9878,-2.4293,2.7
1080.0,-9.1341,-2.478,2.7
1100.0,-11.186,-2.108,2.602
1120.0,-11.046,-2.188,2.622
1140.0,-10.906,-2.268,2.642
1160.0,-10.766,-2.348,2.662
1180.0,-10.626,-2.428,2.682
1200.0,-9.3,-2.8,2.6
1220.0,-8.2802,-3.0901,2.3
1240.0,-8.2363,-3.0681,2.3
1260.0,-8.1923,-3.0462,2.3
1280.0,-8.1484,-3.0242,2.3
1300.0,-8.1044,-3.0022,2.3
1320.0,-8.5,-0.7111,3.4333
1340.0,-8.5,-0.7333,3.5
1360.0,-8.5,-0.7556,3.5667
1380.0,-8.5,-0.7778,3.6333
1400.0,-8.5,-0.8,3.7
