timestamp,accX,accY,accZ
0.0,4.1046,5.3893,4.3066
20.0,4.2905,5.7067,3.9925
40.0,5.0002,7.425,3.325
60.0,5.2114,7.9799,3.4514
80.0,5.2599,8.1224,3.4839
100.0,5.3084,8.2649,3.5164
120.0,5.3569,8.4074,3.5489
140.0,5.7326,9.0296,4.8815
160.0,5.6591,8.9281,5.0275
180.0,5.5855,8.8265,5.1735
200.0,5.5119,8.7249,5.3195
220.0,5.4384,8.6234,5.4655
240.0,3.4624,9.057,10.3969
260.0,3.3935,9.197,10.1667
280.0,3.3246,9.337,9.9365
300.0,3.2556,9.477,9.7063
320.0,3.1867,9.617,9.4761
340.0,3.9451,12.0925,6.216
360.0,4.1705,12.055,5.7957
380.0,4.3959,12.0174,5.3755
400.0,4.6213,11.9799,4.9553
420.0,4.8467,11.9424,4.5351
440.0,3.6743,10.8437,4.136
460.0,2.9193,8.6961,2.7046
480.0,3.1955,8.3653,2.157
500.0,3.4717,8.0345,1.6095
520.0,3.7479,7.7037,1.0619
540.0,1.9893,5.3606,1.1083
560.0,1.9344,5.3748,0.8215
580.0,1.8795,5.3891,0.5347
600.0,1.8246,5.4033,0.2479
620.0,1.7697,5.4176,-0.0389
640.0,1.8023,7.9694,-0.8773
660.0,2.1336,8.0315,-0.8086
680.0,2.465,8.0936,-0.74
700.0,2.7964,8.1557,-0.6714
720.0,3.1277,8.2178,-0.6027
740.0,4.6938,9.906,-1.5038
760.0,4.8388,10.1992,-1.6359
780.0,4.9838,10.4923,-1.7679
800.0,5.1287,10.7855,-1.8999
820.0,5.2738,11.0787,-2.032
840.0,4.41,11.248,-2.395
860.0,6.7431,11.2364,-3.1678
880.0,6.9384,10.9427,-3.3288
900.0,7.1338,10.6491,-3.4898
920.0,7.3292,10.3554,-3.6508
940.0,7.5137,8.3312,-4.704
960.0,7.1505,8.6629,-4.564
980.0,6.7872,8.9946,-4.424
1000.0,6.424,9.3263,-4.284
1020.0,6.0608,9.6581,-4.144
1040.0,8.0027,7.6425,-1.17
1060.0,7.8498,7.5179,-1.0497
1080.0,7.697,7.3933,-0.9295
1100.0,7.5441,7.2687,-0.8093
1120.0,7.3912,7.1441,-0.6891
1140.0,5.0877,5.2619,0.6857
1160.0,4.9812,5.4365,0.5693
1180.0,4.8747,5.6111,0.4529
1200.0,4.7681,5.7857,0.3365
1220.0,4.6616,5.9603,0.2201
1240.0,4.3666,7.1947,-0.7383
1260.0,4.2507,7.5839,-0.6392
1280.0,4.1348,7.9732,-0.5401
1300.0,4.0189,8.3624,-0.4409
1320.0,3.903,8.7517,-0.3418
1340.0,5.3645,9.4768,-0.5321
1360.0,5.499,9.2047,-0.793
1380.0,5.6335,8.9326,-1.0538
1400.0,5.768,8.6605,-1.3147
1420.0,5.9025,8.3884,-1.5756
1440.0,5.4591,8.2745,-2.0123
1460.0,5.2845,8.4067,-1.8786
1480.0,5.11,8.539,-1.745
1500.0,4.9355,8.6713,-1.6114
1520.0,4.7609,8.8035,-1.4777
1540.0,3.9023,6.8969,0.1937
1560.0,4.1688,6.648,-1.77
1580.0,4.4353,6.3991,-3.7337
1600.0,4.7018,6.1501,-5.6974
1620.0,4.9684,5.9012,-7.6611
1640.0,5.9423,6.1054,-2.2964
1660.0,6.214,6.8307,-1.4283
1680.0,6.4857,7.556,-0.5602
1700.0,6.7574,8.2814,0.3079
1720.0,7.0291,9.0067,1.176
1740.0,7.8041,10.4022,1.1041
1760.0,7.4003,10.3311,0.0083
1780.0,6.9965,10.26,-1.0875
1800.0,6.5927,10.1889,-2.1833
1820.0,6.1889,10.1178,-3.2791
1840.0,4.2287,7.3796,-3.6154
1860.0,4.282,7.2272,-3.7365
1880.0,4.3353,7.0747,-3.8575
1900.0,4.3887,6.9222,-3.9786
1920.0,4.442,6.7697,-4.0997
1940.0,4.5172,7.4188,-5.203
1960.0,4.5689,6.8591,-5.883
1980.0,4.6169,6.2415,-6.4795
2000.0,4.665,5.624,-7.076
2020.0,2.198,4.8002,-6.5789
2040.0,2.1962,4.8089,-6.4721
2060.0,2.1945,4.8176,-6.3654
2080.0,2.1927,4.8263,-6.2586
2100.0,2.191,4.835,-6.1518
2120.0,2.1893,4.8437,-6.045
2140.0,2.9072,6.7816,-7.631
2160.0,3.2876,6.8205,-7.9224
2180.0,3.668,6.8595,-8.2138
2200.0,4.0484,6.8984,-8.5052
2220.0,4.4289,6.9373,-8.7966
2240.0,3.1233,2.3581,-11.9325
2260.0,2.9343,1.8983,-11.8907
2280.0,2.7453,1.4385,-11.849
2300.0,2.5563,0.9787,-11.8072
2320.0,2.3673,0.5189,-11.7654
2340.0,1.3486,-0.6959,-11.8802
2360.0,1.4661,-0.4526,-11.5195
2380.0,1.8176,-0.9621,-11.3259
2400.0,2.1692,-1.4716,-11.1323
2420.0,2.5207,-1.9811,-10.9387
2440.0,3.0936,-1.7773,-8.2574
